index,mod_lectura_critica_punt,eco_condicion_tic
317,10.1,1.0
318,8.5,0.0
319,10.0,0.0
320,9.4,2.0
321,10.5,1.0
322,9.0,1.0
323,9.9,0.0
324,10.3,0.0
325,9.4,2.0
326,11.4,2.0
327,8.4,1.0
328,10.3,1.0
329,10.3,1.0
330,10.6,1.0
331,10.7,1.0
332,10.5,0.0
333,9.6,2.0
334,10.8,1.0
335,11.6,0.0
336,10.3,0.0
337,10.3,0.0
338,9.3,0.0
339,10.5,1.0
340,10.5,0.0
341,8.8,1.0
342,9.8,2.0
343,9.6,1.0
344,11.3,0.0
345,9.4,2.0
346,11.0,0.0
347,10.1,0.0
348,11.1,1.0
349,9.8,0.0
350,10.3,0.0
351,10.5,0.0
352,8.6,0.0
353,8.4,1.0
354,10.8,1.0
355,9.9,0.0
356,9.6,0.0
357,11.0,0.0
358,9.4,0.0
359,9.3,0.0
360,10.5,1.0
361,10.0,0.0
362,10.5,0.0
363,9.1,1.0
364,10.0,0.0
365,8.6,0.0
366,9.1,0.0
367,10.3,0.0
368,10.5,0.0
369,11.1,0.0
370,10.5,1.0
371,9.8,0.0
372,9.8,1.0
373,10.8,2.0
374,11.3,0.0
375,10.1,1.0
376,8.5,2.0
377,9.9,0.0
378,11.5,1.0
379,10.5,0.0
380,9.7,2.0
381,9.4,2.0
382,10.7,1.0
383,10.3,0.0
384,11.3,0.0
385,9.9,1.0
386,9.6,2.0
387,10.8,2.0
388,9.4,0.0
389,10.6,1.0
390,11.5,0.0
391,10.8,1.0
392,10.7,1.0
393,10.8,1.0
394,9.3,0.0
395,9.1,1.0
396,10.0,0.0
397,9.1,2.0
398,10.7,0.0
399,11.0,0.0
400,9.6,1.0
401,10.3,2.0
402,11.2,1.0
403,10.3,0.0
404,10.5,0.0
405,10.8,1.0
406,10.3,1.0
407,10.6,0.0
408,7.7,1.0
409,11.4,0.0
410,9.6,1.0
411,10.8,1.0
412,9.8,2.0
413,10.7,0.0
414,8.8,0.0
415,10.5,2.0
416,9.7,0.0
417,11.3,0.0
418,10.8,1.0
419,10.3,1.0
420,10.7,0.0
421,10.8,2.0
422,10.8,0.0
423,10.5,0.0
424,10.5,1.0
425,8.5,1.0
426,9.8,0.0
427,11.1,1.0
428,9.9,1.0
429,9.7,1.0
430,10.7,1.0
431,8.9,0.0
432,10.5,1.0
433,9.6,0.0
434,10.3,1.0
435,11.3,1.0
436,10.8,1.0
437,10.1,1.0
438,9.4,0.0
439,11.4,0.0
440,8.4,0.0
441,8.8,2.0
442,11.3,2.0
443,11.0,0.0
444,10.1,1.0
445,9.9,1.0
446,9.9,0.0
447,9.8,0.0
448,9.4,1.0
449,11.5,0.0
450,9.8,1.0
451,9.8,1.0
452,10.2,0.0
453,8.8,1.0
454,9.8,1.0
455,10.6,0.0
456,9.1,0.0
457,8.4,2.0
458,8.6,0.0
459,9.9,1.0
460,9.6,0.0
461,9.3,1.0
462,12.1,0.0
463,9.8,1.0
464,8.4,2.0
465,8.3,0.0
466,10.8,0.0
467,10.7,0.0
468,11.6,0.0
469,10.7,0.0
470,10.3,1.0
471,9.8,2.0
472,10.3,0.0
473,10.1,2.0
474,10.1,1.0
475,9.4,1.0
476,9.7,1.0
477,10.3,1.0
478,10.0,0.0
479,8.8,0.0
480,9.3,1.0
481,8.9,0.0
482,9.1,0.0
483,10.8,2.0
484,10.0,0.0
485,10.2,0.0
486,11.1,1.0
487,10.1,0.0
488,9.6,1.0
489,11.8,0.0
490,9.9,1.0
491,10.8,0.0
492,9.9,0.0
493,10.3,0.0
494,8.6,2.0
495,10.0,1.0
496,9.9,1.0
497,10.7,1.0
498,10.3,0.0
499,7.7,0.0
500,8.6,2.0
501,10.2,1.0
502,11.0,2.0
503,10.3,0.0
504,10.3,0.0
505,8.8,1.0
506,12.4,0.0
507,10.7,1.0
508,9.6,0.0
509,9.6,1.0
510,9.4,1.0
511,9.8,2.0
512,10.8,0.0
513,10.8,1.0
514,10.8,0.0
515,9.6,1.0
516,10.5,0.0
517,13.4,0.0
518,12.1,2.0
519,12.8,0.0
520,11.4,1.0
521,9.8,1.0
522,8.9,1.0
523,10.8,0.0
524,9.8,0.0
525,9.1,1.0
526,9.7,0.0
527,9.6,1.0
528,8.8,2.0
529,9.8,1.0
530,11.1,1.0
531,10.2,0.0
532,11.5,0.0
533,9.9,1.0
534,10.3,0.0
535,11.1,0.0
536,8.4,0.0
537,10.8,0.0
538,11.0,0.0
539,10.1,0.0
540,10.1,1.0
541,10.1,0.0
542,10.0,0.0
543,10.7,1.0
544,9.3,1.0
545,10.7,1.0
546,10.1,0.0
547,9.4,1.0
548,9.0,0.0
549,9.0,1.0
550,9.4,1.0
551,9.0,0.0
552,9.4,1.0
553,10.5,1.0
554,11.4,1.0
555,9.3,0.0
556,8.6,1.0
557,10.1,1.0
558,8.6,0.0
559,9.4,0.0
560,9.4,1.0
561,10.8,0.0
562,9.6,0.0
563,11.5,1.0
564,7.7,1.0
565,10.5,1.0
566,8.8,2.0
567,10.5,0.0
568,10.5,1.0
569,11.8,1.0
570,9.6,1.0
571,9.4,2.0
572,10.5,1.0
573,10.8,1.0
574,11.3,1.0
575,10.6,1.0
576,10.5,0.0
577,11.2,1.0
578,10.7,1.0
579,9.9,2.0
580,10.8,1.0
581,10.5,0.0
582,11.6,1.0
583,9.8,1.0
584,8.9,0.0
585,9.8,1.0
586,9.4,2.0
587,8.0,0.0
588,9.4,1.0
589,10.3,1.0
590,10.5,2.0
591,10.5,0.0
592,9.8,1.0
593,9.3,1.0
594,9.4,0.0
595,11.4,0.0
596,9.9,0.0
597,10.5,2.0
598,9.6,0.0
599,10.3,0.0
600,10.7,0.0
601,10.0,1.0
602,7.7,0.0
